probe_id,mean_normal,mean_cancer,log2FC,p_value
207175_at,11.13,4.737,-1.232,0.0
217428_s_at,4.002,8.994,1.168,0.0
1552509_a_at,7.802,3.485,-1.163,0.0
209613_s_at,10.089,4.598,-1.134,0.0
209773_s_at,4.106,8.945,1.123,0.0
229839_at,7.782,3.581,-1.12,0.0
207092_at,9.007,4.148,-1.119,0.002
226147_s_at,11.087,5.2,-1.092,0.0
204712_at,8.695,4.129,-1.074,0.001
235978_at,7.999,3.8,-1.074,0.001
222717_at,8.02,3.82,-1.07,0.0
229802_at,3.667,7.547,1.041,0.0
211122_s_at,3.381,6.921,1.034,0.0
219140_s_at,10.169,5.017,-1.019,0.001
204475_at,3.457,6.99,1.016,0.0
201291_s_at,4.537,9.135,1.01,0.0
223623_at,9.855,4.918,-1.003,0.0
203296_s_at,7.145,3.599,-0.989,0.005
229479_at,3.486,6.912,0.987,0.0
204719_at,9.115,4.603,-0.986,0.0
